Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Demographic Proxies
  - Region
    - 4dcef4d040cdbc17eb8e7e39d1456c2a1ab691a0 | title: SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models | year: 2022 | ids: ArXiv=2210.07269; DOI=10.48550/arXiv.2210.07269; DBLP=journals/corr/abs-2210-07269; CorpusId=252907310; ACL=2023.eacl-main.116
    - ca94c924d8a3b77a2bd5b16ffc03b8723bce9c1f | title: Assessing Cross-Cultural Alignment between ChatGPT and Human Societies: An Empirical Study | year: 2023 | ids: ArXiv=2303.17466; DOI=10.48550/arXiv.2303.17466; DBLP=journals/corr/abs-2303-17466; CorpusId=257833897; ACL=2023.c3nlp-1.7
    - f850ebd6cddd742dd7851ec12c76d847e66477d8 | title: Bridging Cultural Nuances in Dialogue Agents through Cultural Value Surveys | year: 2024 | ids: ArXiv=2401.10352; DOI=10.48550/arXiv.2401.10352; DBLP=journals/corr/abs-2401-10352; CorpusId=267061333; ACL=2024.findings-eacl.63
    - 18bd959aaa8a83b5b2192282224d700da7459857 | title: Sociocultural Norm Similarities and Differences via Situational Alignment and Explainable Textual Entailment | year: 2023 | ids: ArXiv=2305.14492; DOI=10.48550/arXiv.2305.14492; DBLP=conf/emnlp/CH-WangSLYM23; CorpusId=258865289
    - 7410e79e85d4548a427117eb3f043f4ad0184f72 | title: CulturalTeaming: AI-Assisted Interactive Red-Teaming for Challenging LLMs' (Lack of) Multicultural Knowledge | year: 2024 | ids: ArXiv=2404.06664; DOI=10.48550/arXiv.2404.06664; DBLP=journals/corr/abs-2404-06664; CorpusId=269032901
    - dee265d98d409664dc892335a40a76129bcc6b73 | title: Building Socio-culturally Inclusive Stereotype Resources with Community Engagement | year: 2023 | ids: ArXiv=2307.10514; DOI=10.48550/arXiv.2307.10514; DBLP=conf/nips/DevGTDP23; CorpusId=259991155
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - 8dd3fc5ecb04e6ae78aacb06fb71c5deddae9020 | title: EtiCor: Corpus for Analyzing LLMs for Etiquettes | year: 2023 | ids: ArXiv=2310.18974; DOI=10.48550/arXiv.2310.18974; DBLP=journals/corr/abs-2310-18974; CorpusId=264590580
    - f4f154892800008894ebbf57add31fcaac4f27ca | title: SeeGULL: A Stereotype Benchmark with Broad Geo-Cultural Coverage Leveraging Generative Models | year: 2023 | ids: ArXiv=2305.11840; DOI=10.48550/arXiv.2305.11840; DBLP=conf/acl/JhaDRDPD23; CorpusId=258823008; ACL=2023.acl-long.548
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - 497d5e7861e5e89ab599f8936ccdae10162776d8 | title: Evaluating the Diversity, Equity, and Inclusion of NLP Technology: A Case Study for Indian Languages | year: 2022 | ids: ArXiv=2205.12676; DOI=10.18653/v1/2023.findings-eacl.131; DBLP=conf/eacl/KhanujaRT23; CorpusId=258079161; ACL=2023.findings-eacl.131
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - 953b304d0dd3745861f5fa56fd342a2edbd30710 | title: IndoCulture: Exploring Geographically Influenced Cultural Commonsense Reasoning Across Eleven Indonesian Provinces | year: 2024 | ids: ArXiv=2404.01854; DOI=10.1162/tacl_a_00726; DBLP=journals/corr/abs-2404-01854; CorpusId=268856961
    - 0b641cc51d8e25c6c0b2362317fec7e0bf26fbf1 | title: KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications | year: 2023 | ids: ArXiv=2305.17701; DOI=10.48550/arXiv.2305.17701; DBLP=journals/corr/abs-2305-17701; CorpusId=258959496; ACL=2023.acl-industry.21
    - 25e4e7a69454099ca0e3ccbf079452878d3abce9 | title: Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings | year: 2023 | ids: ArXiv=2309.08591; DOI=10.48550/arXiv.2309.08591; DBLP=journals/corr/abs-2309-08591; CorpusId=261875650; ACL=2024.naacl-long.112
    - 3d682feaba804468217d27cf3f1e1db202cfca86 | title: Cultural Alignment in Large Language Models: An Explanatory Analysis Based on Hofstede's Cultural Dimensions | year: 2023 | ids: ArXiv=2309.12342; DOI=10.48550/arXiv.2309.12342; DBLP=journals/corr/abs-2309-12342; CorpusId=262216989
    - db3eff14f72e5d85dd7d039baa13e9b89d91c0f2 | title: Global Voices, Local Biases: Socio-Cultural Prejudices across Languages | year: 2023 | ids: ArXiv=2310.17586; DOI=10.48550/arXiv.2310.17586; DBLP=journals/corr/abs-2310-17586; CorpusId=264491136
    - 8ea24b1dbb3e690ebc64543c03f0552a6c1fb49d | title: Knowledge of cultural moral norms in large language models | year: 2023 | ids: ArXiv=2306.01857; DOI=10.48550/arXiv.2306.01857; DBLP=conf/acl/Ramezani023; CorpusId=259075607; ACL=2023.acl-long.26
    - a66ff335f5934fe7503a99d3eb3abed493994df1 | title: NLPositionality: Characterizing Design Biases of Datasets and Models | year: 2023 | ids: ArXiv=2306.01943; DOI=10.48550/arXiv.2306.01943; DBLP=journals/corr/abs-2306-01943; CorpusId=259076120; ACL=2023.acl-long.505
    - e76cf464a3a685acab9ad8cabeae05ecc3e5c641 | title: Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems | year: 2023 | ids: ArXiv=2310.05280; DOI=10.48550/arXiv.2310.05280; DBLP=conf/emnlp/WanZCPC23; CorpusId=263830709
    - 05be16afbd1dec2f5dad0949686c3fbe9d44f466 | title: SeaEval for Multilingual Foundation Models: From Cross-Lingual Alignment to Cultural Reasoning | year: 2023 | ids: ArXiv=2309.04766; DOI=10.48550/arXiv.2309.04766; DBLP=journals/corr/abs-2309-04766; CorpusId=261682140; ACL=2024.naacl-long.22
    - e1c7e3e6d81e41a5bb804337fe16346103051b56 | title: COPAL-ID: Indonesian Language Reasoning with Local Culture and Nuances | year: 2023 | ids: ArXiv=2311.01012; DOI=10.48550/arXiv.2311.01012; DBLP=journals/corr/abs-2311-01012; CorpusId=264935209; ACL=2024.naacl-long.77
    - c8a940f2015afad576d35e7a6916cc1a0cec169d | title: The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages | year: 2023 | ids: ArXiv=2310.14557; DOI=10.48550/arXiv.2310.14557; DBLP=journals/corr/abs-2310-14557; CorpusId=264425932
    - bb5476c4e52f8d6eb07a33f054a8cfa7fe99d0b5 | title: Cross-Cultural Transfer Learning for Chinese Offensive Language Detection | year: 2023 | ids: ArXiv=2303.17927; DOI=10.48550/arXiv.2303.17927; DBLP=journals/corr/abs-2303-17927; CorpusId=257900672; ACL=2023.c3nlp-1.2
    - 92fcc672afe1f0c52398bf3d99714ea75dfaeb3e | title: Cultural Compass: Predicting Transfer Learning Success in Offensive Language Detection with Cultural Features | year: 2023 | ids: ArXiv=2310.06458; DOI=10.48550/arXiv.2310.06458; DBLP=journals/corr/abs-2310-06458; CorpusId=263828859
  - Language
    - ca94c924d8a3b77a2bd5b16ffc03b8723bce9c1f | title: Assessing Cross-Cultural Alignment between ChatGPT and Human Societies: An Empirical Study | year: 2023 | ids: ArXiv=2303.17466; DOI=10.48550/arXiv.2303.17466; DBLP=journals/corr/abs-2303-17466; CorpusId=257833897; ACL=2023.c3nlp-1.7
    - f850ebd6cddd742dd7851ec12c76d847e66477d8 | title: Bridging Cultural Nuances in Dialogue Agents through Cultural Value Surveys | year: 2024 | ids: ArXiv=2401.10352; DOI=10.48550/arXiv.2401.10352; DBLP=journals/corr/abs-2401-10352; CorpusId=267061333; ACL=2024.findings-eacl.63
    - 18bd959aaa8a83b5b2192282224d700da7459857 | title: Sociocultural Norm Similarities and Differences via Situational Alignment and Explainable Textual Entailment | year: 2023 | ids: ArXiv=2305.14492; DOI=10.48550/arXiv.2305.14492; DBLP=conf/emnlp/CH-WangSLYM23; CorpusId=258865289
    - c7dbe793329c97f30b95448bff68e0ded53cb08a | title: The Echoes of Multilinguality: Tracing Cultural Value Shifts during LM Fine-tuning | year: 2024 | ids: ArXiv=2405.12744; DOI=10.48550/arXiv.2405.12744; DBLP=journals/corr/abs-2405-12744; CorpusId=269930130
    - 1669a5929c6706efaec0fe2ddb4a62130bd93cb3 | title: Toward Cultural Bias Evaluation Datasets: The Case of Bengali Gender, Religious, and National Identity | year: 2023 | ids: DOI=10.18653/v1/2023.c3nlp-1.8; CorpusId=258486951; ACL=2023.c3nlp-1.8
    - dee265d98d409664dc892335a40a76129bcc6b73 | title: Building Socio-culturally Inclusive Stereotype Resources with Community Engagement | year: 2023 | ids: ArXiv=2307.10514; DOI=10.48550/arXiv.2307.10514; DBLP=conf/nips/DevGTDP23; CorpusId=259991155
    - 9eb9d7efc07cc5dd915124f3cb4a02b3cef571bb | title: Multilingual Language Models are not Multicultural: A Case Study in Emotion | year: 2023 | ids: ArXiv=2307.01370; DOI=10.48550/arXiv.2307.01370; DBLP=conf/wassa/HavaldarSRLGU23; CorpusId=259342568; ACL=2023.wassa-1.19
    - cb144605e705c1961bc19a69e215d02ff542b077 | title: Culturally Aware Natural Language Inference | year: 2023 | ids: DOI=10.18653/v1/2023.findings-emnlp.509; DBLP=conf/emnlp/HuangY23; CorpusId=266176303
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - d5dd7230cccace7e77095d3b5fd8394850f59170 | title: Multi-lingual and Multi-cultural Figurative Language Understanding | year: 2023 | ids: ArXiv=2305.16171; DOI=10.48550/arXiv.2305.16171; DBLP=journals/corr/abs-2305-16171; CorpusId=258887835
    - ddb4d582a5e1e377be8ed220bdbdf8b6fae797d6 | title: DLAMA: A Framework for Curating Culturally Diverse Facts for Probing the Knowledge of Pretrained Language Models | year: 2023 | ids: ArXiv=2306.05076; DOI=10.48550/arXiv.2306.05076; DBLP=journals/corr/abs-2306-05076; CorpusId=259108559
    - 497d5e7861e5e89ab599f8936ccdae10162776d8 | title: Evaluating the Diversity, Equity, and Inclusion of NLP Technology: A Case Study for Indian Languages | year: 2022 | ids: ArXiv=2205.12676; DOI=10.18653/v1/2023.findings-eacl.131; DBLP=conf/eacl/KhanujaRT23; CorpusId=258079161; ACL=2023.findings-eacl.131
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - ffd20e2e1771874033f7b55efde72dc0e22c3cd3 | title: A"Perspectival"Mirror of the Elephant: Investigating Language Bias on Google, ChatGPT, YouTube, and Wikipedia | year: 2023 | ids: ArXiv=2303.16281; CorpusId=268296686
    - 710d50e2a072d4dfc85d76de6684400c80ea59ce | title: ArtELingo: A Million Emotion Annotations of WikiArt with Emphasis on Diversity over Language and Culture | year: 2022 | ids: ArXiv=2211.10780; DOI=10.48550/arXiv.2211.10780; DBLP=conf/emnlp/MohamedAAL00E22; CorpusId=253734458; ACL=2022.emnlp-main.600
    - db3eff14f72e5d85dd7d039baa13e9b89d91c0f2 | title: Global Voices, Local Biases: Socio-Cultural Prejudices across Languages | year: 2023 | ids: ArXiv=2310.17586; DOI=10.48550/arXiv.2310.17586; DBLP=journals/corr/abs-2310-17586; CorpusId=264491136
    - 430a95e3cbebddf8d727c874e007d32ab844f148 | title: Having Beer after Prayer? Measuring Cultural Bias in Large Language Models | year: 2023 | ids: ArXiv=2305.14456; DOI=10.48550/arXiv.2305.14456; DBLP=journals/corr/abs-2305-14456; CorpusId=258865272
    - a66ff335f5934fe7503a99d3eb3abed493994df1 | title: NLPositionality: Characterizing Design Biases of Datasets and Models | year: 2023 | ids: ArXiv=2306.01943; DOI=10.48550/arXiv.2306.01943; DBLP=journals/corr/abs-2306-01943; CorpusId=259076120; ACL=2023.acl-long.505
    - f4f794a463e736de9761685a1b364a927d06882d | title: Modeling Cross-Cultural Pragmatic Inference with Codenames Duet | year: 2023 | ids: ArXiv=2306.02475; DOI=10.48550/arXiv.2306.02475; DBLP=journals/corr/abs-2306-02475; CorpusId=259076052
    - c811b7e98b755ab7d34baa466796d00a93f662e7 | title: Navigating Cultural Chasms: Exploring and Unlocking the Cultural POV of Text-To-Image Models | year: 2023 | ids: ArXiv=2310.01929; DOI=10.48550/arXiv.2310.01929; DBLP=journals/corr/abs-2310-01929; CorpusId=263608260
    - c8a940f2015afad576d35e7a6916cc1a0cec169d | title: The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages | year: 2023 | ids: ArXiv=2310.14557; DOI=10.48550/arXiv.2310.14557; DBLP=journals/corr/abs-2310-14557; CorpusId=264425932
    - 92fcc672afe1f0c52398bf3d99714ea75dfaeb3e | title: Cultural Compass: Predicting Transfer Learning Success in Offensive Language Detection with Cultural Features | year: 2023 | ids: ArXiv=2310.06458; DOI=10.48550/arXiv.2310.06458; DBLP=journals/corr/abs-2310-06458; CorpusId=263828859
  - Gender
    - 5966d7c7f60898d610812e24c64d4d57855ad86a | title: Semantics derived automatically from language corpora contain human-like biases | year: 2016 | ids: ArXiv=1608.07187; DOI=10.1126/science.aal4230; DBLP=journals/corr/IslamBN16; CorpusId=23163324; MAG=3105700579; PubMed=28408601
    - 8b39640f3ae7fa68c0ec280252eb2ea9ef06d874 | title: EPIC: Multi-Perspective Annotation of a Corpus of Irony | year: 2023 | ids: DOI=10.18653/v1/2023.acl-long.774; DBLP=conf/acl/FrendaPBLCPMSPB23; CorpusId=259370589; ACL=2023.acl-long.774
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - e76cf464a3a685acab9ad8cabeae05ecc3e5c641 | title: Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems | year: 2023 | ids: ArXiv=2310.05280; DOI=10.48550/arXiv.2310.05280; DBLP=conf/emnlp/WanZCPC23; CorpusId=263830709
