Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Personality in LLMs
  - Self-assessment
    - 81738232a8275b65cba357150a50b1856c6f97fe | title: Eliciting Personality Traits in Large Language Models | year: 2024 | ids: ArXiv=2402.08341; DOI=10.48550/arXiv.2402.08341; DBLP=journals/corr/abs-2402-08341; CorpusId=267637157
    - 4681b69a32e440e924f3c41f32ac74131836553b | title: Estimating the Personality of White-Box Language Models | year: 2022 | ids: ArXiv=2204.12000; CorpusId=258615799
    - f2f2339f320df0021825a3160cfbc027cb442d13 | title: Identifying Multiple Personalities in Large Language Models with External Evaluation | year: 2024 | ids: ArXiv=2402.14805; DOI=10.48550/arXiv.2402.14805; DBLP=journals/corr/abs-2402-14805; CorpusId=267782429
  - Exhibition
    - dd5ef6ceed4e77eb2702b40ba4afece05c1b0af8 | title: PICLe: Eliciting Diverse Behaviors from Large Language Models with Persona In-Context Learning | year: 2024 | ids: ArXiv=2405.02501; DOI=10.48550/arXiv.2405.02501; DBLP=conf/icml/ChoiL24; CorpusId=269605999
    - d2d96dc3bbf9d63c85f445e3fa08ad695457a532 | title: LLM Agents in Interaction: Measuring Personality Consistency and Linguistic Alignment in Interacting Populations of Large Language Models | year: 2024 | ids: ArXiv=2402.02896; DOI=10.48550/arXiv.2402.02896; DBLP=journals/corr/abs-2402-02896; CorpusId=267412270; ACL=2024.personalize-1.9
    - 3c4690902a1e6b50f413ef32d1a89464cdba138b | title: On the Effectiveness of Creating Conversational Agent Personalities Through Prompting | year: 2023 | ids: ArXiv=2310.11182; DOI=10.48550/arXiv.2310.11182; DBLP=journals/corr/abs-2310-11182; CorpusId=264172535
    - d18dc681627b2d78ed09e02da99c22e9f27afd2c | title: AFSPP: Agent Framework for Shaping Preference and Personality with Large Language Models | year: 2024 | ids: ArXiv=2401.02870; DOI=10.48550/arXiv.2401.02870; DBLP=journals/corr/abs-2401-02870; CorpusId=266818093
    - 8af73b46ff439261d6962301320bf4a38ead864e | title: ChatGPT an ENFJ, Bard an ISTJ: Empirical Study on Personalities of Large Language Models | year: 2023 | ids: DOI=10.48550/arXiv.2305.19926; DBLP=journals/corr/abs-2305-19926; CorpusId=271771068
    - e30a39570bf8a153bae86a6afde00983be9d7d73 | title: Evaluating and Inducing Personality in Pre-trained Language Models | year: 2022 | ids: ArXiv=2206.07550; DBLP=conf/nips/JiangXZHZ023; CorpusId=258865158
    - f81d85025b349694a57607c5b0c58e0be70bf22f | title: PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits | year: 2023 | ids: ArXiv=2305.02547; DOI=10.18653/v1/2024.findings-naacl.229; DBLP=conf/naacl/JiangZCBRK24; CorpusId=268032940
    - 58c7539843595a9913551518f3e2f3fc39069bec | title: Driving Generative Agents With Their Personality | year: 2024 | ids: ArXiv=2402.14879; DOI=10.48550/arXiv.2402.14879; DBLP=journals/corr/abs-2402-14879; CorpusId=267897404
    - 6f0469df2b16aabd5b6c15843faf8fc306379673 | title: Large Language Models as Superpositions of Cultural Perspectives | year: 2023 | ids: ArXiv=2307.07870; DOI=10.48550/arXiv.2307.07870; DBLP=journals/corr/abs-2307-07870; CorpusId=259937187
    - 8a3e9ba742005e8141a68c75691b94998331e4d5 | title: Open Models, Closed Minds? On Agents Capabilities in Mimicking Human Personalities through Open Large Language Models | year: 2024 | ids: ArXiv=2401.07115; DOI=10.48550/arXiv.2401.07115; DBLP=journals/corr/abs-2401-07115; CorpusId=266999834
    - 07e5677c70946dd9de9bb1003ef8f55345422cf5 | title: AI Text-to-Behavior: A Study In Steerability | year: 2023 | ids: ArXiv=2308.07326; DOI=10.48550/arXiv.2308.07326; DBLP=journals/corr/abs-2308-07326; CorpusId=260900272
