run_a,run_b,metric,n_overlap,mean_diff_b_minus_a,sd_diff,papers,diffs
ablation_no_meta_abstract,ablation_with_meta_abstract,structural_distance,4,-0.08158633008944452,0.047812326544622585,2307.05527 2409.13738 2511.13936 2601.19926,-0.021622 -0.138249 -0.088043 -0.078431
ablation_no_meta_abstract,ablation_with_meta_abstract,judge_average,4,0.16666666666666652,1.8345955251064852,2307.05527 2409.13738 2511.13936 2601.19926,0.666667 -0.500000 -1.916667 2.416667
ablation_no_meta_abstract,ablation_with_meta_abstract,结构_信息快速定位,4,0.25,0.5,2307.05527 2409.13738 2511.13936 2601.19926,0.000000 0.000000 0.000000 1.000000
ablation_no_meta_abstract,ablation_with_meta_abstract,结构_详略得当,4,1.0,4.760952285695233,2307.05527 2409.13738 2511.13936 2601.19926,6.000000 -2.000000 -4.000000 4.000000
ablation_no_meta_abstract,ablation_with_meta_abstract,内容_章节互斥性,4,0.125,3.6827299656640586,2307.05527 2409.13738 2511.13936 2601.19926,0.500000 0.000000 -4.500000 4.500000
ablation_no_meta_abstract,ablation_with_meta_abstract,内容_逻辑深度,4,0.125,2.0155644370746373,2307.05527 2409.13738 2511.13936 2601.19926,2.500000 -1.000000 -2.000000 1.000000
ablation_no_meta_abstract,ablation_with_meta_abstract,内容_学术价值,4,0.125,0.47871355387816905,2307.05527 2409.13738 2511.13936 2601.19926,0.000000 0.500000 -0.500000 0.500000
ablation_no_meta_abstract,ablation_with_meta_abstract,语用_描述性与简洁性,4,-0.625,3.473110997362451,2307.05527 2409.13738 2511.13936 2601.19926,-5.000000 -0.500000 -0.500000 3.500000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,structural_distance,3,-0.020575113281985653,0.07113798377702661,2307.05527 2409.13738 2511.13936,-0.012903 -0.095238 0.046416
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,judge_average,3,-0.6944444444444443,1.5122952876462448,2307.05527 2409.13738 2511.13936,0.416667 -0.083333 -2.416667
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,结构_信息快速定位,3,-1.5,1.0,2307.05527 2409.13738 2511.13936,-0.500000 -1.500000 -2.500000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,结构_详略得当,3,2.0,3.5,2307.05527 2409.13738 2511.13936,4.500000 3.500000 -2.000000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,内容_章节互斥性,3,-1.5,1.8027756377319946,2307.05527 2409.13738 2511.13936,0.000000 -1.000000 -3.500000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,内容_逻辑深度,3,0.8333333333333334,2.0207259421636903,2307.05527 2409.13738 2511.13936,2.000000 2.000000 -1.500000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,内容_学术价值,3,-3.1666666666666665,1.6072751268321592,2307.05527 2409.13738 2511.13936,-2.500000 -2.000000 -5.000000
ablation_no_meta_abstract,gemini-3.1-pro-preview-3papers,语用_描述性与简洁性,3,-0.8333333333333334,0.7637626158259734,2307.05527 2409.13738 2511.13936,-1.000000 -1.500000 0.000000
