N_papers,df,sqrt_N,tcrit_975_approx,observed_p05_two_sided_min_abs_dz,power80_min_abs_dz_t_adjusted,power90_min_abs_dz_t_adjusted,power80_min_abs_dz_largeN_z,power90_min_abs_dz_largeN_z
4,3,2.000000,3.158993,1.579497,2.000307,2.220272,1.400793,1.620758
5,4,2.236068,2.769373,1.238501,1.614886,1.811629,1.252907,1.449650
6,5,2.449490,2.567765,1.048286,1.391876,1.571477,1.143742,1.323343
7,6,2.645751,2.445578,0.924342,1.242444,1.408723,1.058900,1.225178
8,7,2.828427,2.363913,0.835770,1.133328,1.288866,0.990510,1.146049
9,8,3.000000,2.305591,0.768530,1.049071,1.195714,0.933862,1.080505
10,9,3.162278,2.261901,0.715276,0.981420,1.120538,0.885939,1.025057
11,10,3.316625,2.227972,0.671759,0.925517,1.058161,0.844710,0.977354
12,11,3.464102,2.200872,0.635337,0.878292,1.005289,0.808748,0.935745
13,12,3.605551,2.178733,0.604272,0.837696,0.959710,0.777020,0.899035
14,13,3.741657,2.160311,0.577367,0.802300,0.919876,0.748755,0.866331
15,14,3.872983,2.144744,0.553770,0.771076,0.884666,0.723366,0.836956
16,15,4.000000,2.131417,0.532854,0.743260,0.853242,0.700396,0.810379
17,16,4.123106,2.119880,0.514146,0.718270,0.824968,0.679484,0.786183
18,17,4.242641,2.109796,0.497284,0.695656,0.799348,0.660340,0.764033
19,18,4.358899,2.100906,0.481981,0.675062,0.775989,0.642728,0.743655
20,19,4.472136,2.093012,0.468012,0.656204,0.754575,0.626453,0.724825
21,20,4.582576,2.085953,0.455192,0.638849,0.734850,0.611356,0.707357
22,21,4.690416,2.079605,0.443373,0.622808,0.716601,0.597300,0.691093
23,22,4.795832,2.073866,0.432431,0.607921,0.699653,0.584171,0.675903
24,23,4.898979,2.068652,0.422262,0.594057,0.683857,0.571871,0.661672
25,24,5.000000,2.063894,0.412779,0.581103,0.669089,0.560317,0.648303
26,25,5.099020,2.059534,0.403908,0.568963,0.655241,0.549436,0.635714
27,26,5.196152,2.055526,0.395586,0.557556,0.642221,0.539165,0.623830
28,27,5.291503,2.051827,0.387759,0.546810,0.629949,0.529450,0.612589
29,28,5.385165,2.048405,0.380379,0.536664,0.618357,0.520241,0.601934
30,29,5.477226,2.045227,0.373406,0.527064,0.607384,0.511497,0.591817
31,30,5.567764,2.042270,0.366803,0.517962,0.596976,0.503180,0.582193
32,31,5.656854,2.039512,0.360538,0.509317,0.587087,0.495255,0.573024
33,32,5.744563,2.036932,0.354584,0.501092,0.577674,0.487693,0.564275
34,33,5.830952,2.034514,0.348916,0.493253,0.568701,0.480468,0.555915
35,34,5.916080,2.032243,0.343512,0.485772,0.560134,0.473554,0.547916
36,35,6.000000,2.030107,0.338351,0.478621,0.551943,0.466931,0.540253
37,36,6.082763,2.028093,0.333416,0.471778,0.544102,0.460578,0.532902
38,37,6.164414,2.026192,0.328692,0.465221,0.536587,0.454477,0.525843
39,38,6.244998,2.024393,0.324162,0.458930,0.529375,0.448613,0.519058
40,39,6.324555,2.022690,0.319815,0.452887,0.522446,0.442970,0.512529
41,40,6.403124,2.021075,0.315639,0.447078,0.515784,0.437534,0.506240
